city,district,postal_code,address,price_eur,living_area_sqm,rooms,floor,energy_efficiency_class,property_type
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",220000.0,87.0,3.0,3.0,,apartment
berlin,Friedrichshain-Kreuzberg,10243,"Friedrichshain, Friedrichshain-Kreuzberg (10243)",219000.0,38.0,1.0,3.0,C,apartment
leipzig,Nordwest,04159,"Wahren, Nordwest (04159)",89000.0,40.1,2.0,1.0,,apartment
leipzig,Nord,04155,"Gohlis-Süd, Nord (04155)",270000.0,98.7,4.0,,C,apartment
leipzig,Südost,04317,"Reudnitz-Thonberg, Südost (04317)",350000.0,79.0,3.0,4.0,B,apartment
leipzig,Nordwest,04158,"Lindenthal, Nordwest (04158)",135000.0,51.5,2.0,,D,apartment
hamburg,Altona,22587,"Blankenese, Altona (22587)",895000.0,92.0,3.0,,D,apartment
berlin,Mitte,10407,"Mitte, Mitte (10407)",980000.0,110.0,4.0,1.0,A,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",329000.0,62.0,2.0,4.0,D,apartment
leipzig,Nord,04157,"Gohlis-Mitte, Nord (04157)",369000.0,93.4,2.0,,,apartment
berlin,Treptow-Köpenick,12555,"Köpenick, Treptow-Köpenick (12555)",399000.0,79.2,3.0,,C,apartment
hamburg,Nord,22335,"Fuhlsbüttel, Nord (22335)",185000.0,27.3,2.0,1.0,A,apartment
leipzig,Nordwest,04159,"Lützschena-Stahmeln, Nordwest (04159)",535000.0,90.0,3.0,,,apartment
hamburg,Mitte,20535,"Borgfelde, Mitte (20535)",325000.0,68.9,3.0,1.0,F,apartment
hamburg,Mitte,20457,"HafenCity, Mitte (20457)",890000.0,70.0,2.0,3.0,A,apartment
hamburg,Mitte,22111,"Horn, Mitte (22111)",149000.0,41.0,2.0,2.0,D,apartment
hamburg,Mitte,22119,"Billstedt, Mitte (22119)",298000.0,75.0,3.0,,D,apartment
leipzig,Südost,04317,"Reudnitz-Thonberg, Südost (04317)",205000.0,64.0,3.0,,B,apartment
berlin,Treptow-Köpenick,12557,"Köpenick, Treptow-Köpenick (12557)",300000.0,80.0,2.0,,E,apartment
berlin,Treptow-Köpenick,12555,"Köpenick, Treptow-Köpenick (12555)",215000.0,60.8,2.0,,,apartment
hamburg,Nord,22301,"Winterhude, Nord (22301)",419000.0,42.7,1.0,,E,apartment
hamburg,Nord,22303,"Winterhude, Nord (22303)",1245000.0,136.0,4.0,,C,apartment
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",350000.0,87.0,3.0,,A,apartment
hamburg,Mitte,20359,"St. Pauli, Mitte (20359)",779000.0,91.0,3.0,3.0,,apartment
berlin,Mitte,13347,"Wedding, Mitte (13347)",367000.0,59.8,2.0,,C,apartment
leipzig,Südost,04299,"Stötteritz, Südost (04299)",99000.0,33.1,1.0,1.0,,apartment
hamburg,Nord,22297,"Alsterdorf, Nord (22297)",900000.0,116.0,4.0,,A,house
leipzig,Nordwest,04159,"Wahren, Nordwest (04159)",59000.0,25.0,1.0,,,apartment
leipzig,Nordwest,04158,"Lindenthal, Nordwest (04158)",110000.0,61.0,3.0,2.0,D,apartment
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",490000.0,106.6,3.0,,B,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",257000.0,75.9,3.0,,,apartment
berlin,Friedrichshain-Kreuzberg,10245,"Friedrichshain, Friedrichshain-Kreuzberg (10245)",1390000.0,136.0,4.0,,B,apartment
leipzig,Südost,04317,"Reudnitz-Thonberg, Südost (04317)",545000.0,174.7,6.0,,,apartment
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",815000.0,136.0,5.0,,B,apartment
hamburg,Wandsbek,22089,"Eilbek, Wandsbek (22089)",248000.0,59.0,2.0,5.0,B,apartment
hamburg,Wandsbek,22143,"Rahlstedt, Wandsbek (22143)",760000.0,114.0,4.0,,A,apartment
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",155000.0,67.0,3.0,,C,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",419000.0,90.0,3.0,,C,apartment
berlin,Friedrichshain-Kreuzberg,10245,"Friedrichshain, Friedrichshain-Kreuzberg (10245)",212000.0,40.0,1.0,,,apartment
leipzig,Mitte,04105,"Zentrum-Nordwest, Mitte (04105)",470000.0,99.0,3.0,2.0,,apartment
berlin,Mitte,13359,"Gesundbrunnen, Mitte (13359)",267000.0,70.2,2.0,3.0,E,apartment
hamburg,Mitte,20099,"St. Georg, Mitte (20099)",642000.0,87.5,2.5,,,apartment
leipzig,Südost,04317,"Reudnitz-Thonberg, Südost (04317)",225000.0,68.4,2.0,3.0,,apartment
leipzig,Nordwest,04159,"Möckern, Nordwest (04159)",160000.0,64.3,2.0,3.0,E,apartment
hamburg,Nord,22299,"Winterhude, Nord (22299)",1195000.0,144.7,5.5,1.0,,apartment
berlin,Friedrichshain-Kreuzberg,10245,"Friedrichshain, Friedrichshain-Kreuzberg (10245)",516000.0,136.9,5.0,2.0,E,apartment
berlin,Mitte,10553,"Moabit, Mitte (10553)",479000.0,108.5,4.0,1.0,D,apartment
hamburg,Mitte,20359,"St. Pauli, Mitte (20359)",469000.0,61.0,2.0,1.0,D,apartment
hamburg,Mitte,20099,"St. Georg, Mitte (20099)",800000.0,108.2,3.0,5.0,C,apartment
hamburg,Nord,22335,"Fuhlsbüttel, Nord (22335)",239000.0,35.1,2.0,,A,apartment
leipzig,Nordwest,04159,"Lützschena-Stahmeln, Nordwest (04159)",245000.0,103.0,3.0,2.0,,apartment
hamburg,Wandsbek,22089,"Eilbek, Wandsbek (22089)",549000.0,72.0,3.0,1.0,E,apartment
berlin,Mitte,12053,"Mitte, Mitte (12053)",199000.0,36.8,1.0,,E,apartment
berlin,Mitte,10553,"Moabit, Mitte (10553)",230000.0,52.9,2.0,,D,apartment
hamburg,Mitte,20457,"HafenCity, Mitte (20457)",1100000.0,70.9,2.0,8.0,A,apartment
